bartoc,uri
http://bartoc.org/en/taxonomy/term/14179,http://creativecommons.org/publicdomain/zero/1.0/
http://bartoc.org/en/taxonomy/term/14180,http://creativecommons.org/licenses/by/3.0/
http://bartoc.org/en/taxonomy/term/14181,http://creativecommons.org/licenses/by-sa/3.0/
http://bartoc.org/en/taxonomy/term/14182,http://creativecommons.org/licenses/by-nd/3.0/
http://bartoc.org/en/taxonomy/term/14183,http://creativecommons.org/licenses/by-nc/3.0/
http://bartoc.org/en/taxonomy/term/14184,http://creativecommons.org/licenses/by-nc-sa/3.0/
http://bartoc.org/en/taxonomy/term/14185,http://creativecommons.org/licenses/by-nc-nd/3.0/
http://bartoc.org/en/taxonomy/term/14186,http://bartoc.org/en/taxonomy/term/14186
http://bartoc.org/en/taxonomy/term/14187,http://bartoc.org/en/taxonomy/term/14187
http://bartoc.org/en/taxonomy/term/14188,http://bartoc.org/en/taxonomy/term/14188
http://bartoc.org/en/taxonomy/term/51170,http://www.opendatacommons.org/licenses/odbl/
http://bartoc.org/en/taxonomy/term/51175,http://www.opendatacommons.org/licenses/by/1.0/
http://bartoc.org/en/License/Open-Government-Licence-OGL,http://www.nationalarchives.gov.uk/doc/open-government-licence/
http://bartoc.org/en/taxonomy/term/51587,https://www.apache.org/licenses/LICENSE-2.0
,http://www.opendatacommons.org/licenses/pddl/
