bartoc,uri,label
http://bartoc.org/en/taxonomy/term/12637,http://eurovoc.europa.eu/517,"administrative law"
http://bartoc.org/en/taxonomy/term/12438,http://eurovoc.europa.eu/152,"agricultural building"
http://bartoc.org/en/taxonomy/term/12005,http://eurovoc.europa.eu/685,agronomy
http://bartoc.org/en/taxonomy/term/12464,http://eurovoc.europa.eu/4505,"air transport"
http://bartoc.org/en/taxonomy/term/12586,http://eurovoc.europa.eu/4408,"civil aviation"
http://bartoc.org/en/taxonomy/term/11636,http://eurovoc.europa.eu/4438,aircraft
http://bartoc.org/en/taxonomy/term/12052,http://eurovoc.europa.eu/1134,alcohol
http://bartoc.org/en/taxonomy/term/12526,http://eurovoc.europa.eu/1204,algae
http://bartoc.org/en/taxonomy/term/11877,http://eurovoc.europa.eu/972,"animal life"
http://bartoc.org/en/taxonomy/term/11946,http://eurovoc.europa.eu/5760,bird
http://bartoc.org/en/taxonomy/term/11897,http://eurovoc.europa.eu/5676,insect
http://bartoc.org/en/taxonomy/term/12587,http://eurovoc.europa.eu/3908,"antidiscriminatory measure"
http://bartoc.org/en/taxonomy/term/12591,http://eurovoc.europa.eu/6617,arbitration
http://bartoc.org/en/taxonomy/term/11662,http://eurovoc.europa.eu/2471,architecture
http://bartoc.org/en/taxonomy/term/11888,http://eurovoc.europa.eu/2948,"aromatic plant"
http://bartoc.org/en/taxonomy/term/12538,http://eurovoc.europa.eu/283,"artistic creation"
http://bartoc.org/en/taxonomy/term/11661,http://eurovoc.europa.eu/2688,arts
http://bartoc.org/en/taxonomy/term/11687,http://eurovoc.europa.eu/3598,"artistic profession"
http://bartoc.org/en/taxonomy/term/11684,http://eurovoc.europa.eu/4837,"fine arts"
http://bartoc.org/en/taxonomy/term/12626,http://eurovoc.europa.eu/5882,sculpture
http://bartoc.org/en/taxonomy/term/11665,http://eurovoc.europa.eu/4112,painting
http://bartoc.org/en/taxonomy/term/11678,http://eurovoc.europa.eu/1680,literature
http://bartoc.org/en/taxonomy/term/11664,http://eurovoc.europa.eu/2023,music
http://bartoc.org/en/taxonomy/term/11685,http://eurovoc.europa.eu/1458,"musical instrument"
http://bartoc.org/en/taxonomy/term/11666,http://eurovoc.europa.eu/2810,"performing arts"
http://bartoc.org/en/taxonomy/term/11676,http://eurovoc.europa.eu/4096,"visual arts"
http://bartoc.org/en/taxonomy/term/12560,http://eurovoc.europa.eu/2527,"atmospheric pollution"
http://bartoc.org/en/taxonomy/term/11621,http://eurovoc.europa.eu/4272,autonomy
http://bartoc.org/en/taxonomy/term/12447,http://eurovoc.europa.eu/2149,banking
http://bartoc.org/en/taxonomy/term/12611,http://eurovoc.europa.eu/5141,barrister
http://bartoc.org/en/taxonomy/term/12420,http://eurovoc.europa.eu/3928,"behavioural sciences"
http://bartoc.org/en/taxonomy/term/12609,http://eurovoc.europa.eu/307,criminology
http://bartoc.org/en/taxonomy/term/11752,http://eurovoc.europa.eu/4094,psychoanalysis
http://bartoc.org/en/taxonomy/term/11754,http://eurovoc.europa.eu/2856,psychology
http://bartoc.org/en/taxonomy/term/12605,http://eurovoc.europa.eu/7389,sexuality
http://bartoc.org/en/taxonomy/term/11912,http://eurovoc.europa.eu/3797,biotechnology
http://bartoc.org/en/taxonomy/term/11711,http://eurovoc.europa.eu/5047,brucellosis
http://bartoc.org/en/taxonomy/term/11669,http://eurovoc.europa.eu/3879,"building industry"
http://bartoc.org/en/taxonomy/term/12610,http://eurovoc.europa.eu/4831,building
http://bartoc.org/en/taxonomy/term/11642,http://eurovoc.europa.eu/1826,"building materials"
http://bartoc.org/en/taxonomy/term/12620,http://eurovoc.europa.eu/4414,"building services"
http://bartoc.org/en/taxonomy/term/11657,http://eurovoc.europa.eu/490,"builtup area"
http://bartoc.org/en/taxonomy/term/11870,http://eurovoc.europa.eu/1550,caselaw
http://bartoc.org/en/taxonomy/term/12504,http://eurovoc.europa.eu/5359,ceramics
http://bartoc.org/en/taxonomy/term/11851,http://eurovoc.europa.eu/2739,"chemical product"
http://bartoc.org/en/taxonomy/term/11691,http://eurovoc.europa.eu/758,child
http://bartoc.org/en/taxonomy/term/11855,http://eurovoc.europa.eu/3916,"children's rights"
http://bartoc.org/en/taxonomy/term/12585,http://eurovoc.europa.eu/4101,church
http://bartoc.org/en/taxonomy/term/11920,http://eurovoc.europa.eu/1145,"civil engineering"
http://bartoc.org/en/taxonomy/term/12638,http://eurovoc.europa.eu/523,"civil law"
http://bartoc.org/en/taxonomy/term/12483,http://eurovoc.europa.eu/884,"civil status"
http://bartoc.org/en/taxonomy/term/11954,http://eurovoc.europa.eu/4680,clothing
http://bartoc.org/en/taxonomy/term/12498,http://eurovoc.europa.eu/3043,"coastal region"
http://bartoc.org/en/taxonomy/term/11673,http://eurovoc.europa.eu/100221,communications
http://bartoc.org/en/taxonomy/term/12616,http://eurovoc.europa.eu/5188,"information technology"
http://bartoc.org/en/taxonomy/term/11739,http://eurovoc.europa.eu/2012,"means of communication"
http://bartoc.org/en/taxonomy/term/11672,http://eurovoc.europa.eu/2013,"mass media"
http://bartoc.org/en/taxonomy/term/11960,http://eurovoc.europa.eu/2599,press
http://bartoc.org/en/taxonomy/term/12540,http://eurovoc.europa.eu/395,"press agency"
http://bartoc.org/en/taxonomy/term/11667,http://eurovoc.europa.eu/4432,television
http://bartoc.org/en/taxonomy/term/12655,http://eurovoc.europa.eu/435228,"open access publishing"
http://bartoc.org/en/taxonomy/term/12539,http://eurovoc.europa.eu/5184,"programmes industry"
http://bartoc.org/en/taxonomy/term/14097,http://eurovoc.europa.eu/667,publishing
http://bartoc.org/en/taxonomy/term/11686,http://eurovoc.europa.eu/1392,"book trade"
http://bartoc.org/en/taxonomy/term/11671,http://eurovoc.europa.eu/5183,"film production"
http://bartoc.org/en/taxonomy/term/11875,http://eurovoc.europa.eu/29,"mass communications"
http://bartoc.org/en/taxonomy/term/11972,http://eurovoc.europa.eu/3873,recording
http://bartoc.org/en/taxonomy/term/11675,http://eurovoc.europa.eu/4424,telecommunications
http://bartoc.org/en/taxonomy/term/12458,http://eurovoc.europa.eu/4502,"data transmission"
http://bartoc.org/en/taxonomy/term/12457,http://eurovoc.europa.eu/6088,Internet
http://bartoc.org/en/taxonomy/term/12501,http://eurovoc.europa.eu/4431,telephone
http://bartoc.org/en/taxonomy/term/12646,http://eurovoc.europa.eu/6776,"mobile phone"
http://bartoc.org/en/taxonomy/term/11719,http://eurovoc.europa.eu/1426,"computer systems"
http://bartoc.org/en/taxonomy/term/12537,http://eurovoc.europa.eu/3026,"computer applications"
http://bartoc.org/en/taxonomy/term/11723,http://eurovoc.europa.eu/5862,"computer network"
http://bartoc.org/en/taxonomy/term/11677,http://eurovoc.europa.eu/6261,"virtual reality"
http://bartoc.org/en/taxonomy/term/12641,http://eurovoc.europa.eu/5532,consultancy
http://bartoc.org/en/taxonomy/term/11937,http://eurovoc.europa.eu/47,"consumer behaviour"
